Husband_age,Husband's Education Level,Husband Occupation_(grouped),Husband Ethnicity,Husband Religion,Wife's_current_age,Wife's height(centimeters),Wife's Education Level,Wife's_occupation_(grouped),Wife's Ethnicity,Wife's Religion,residence,State,Husband_partner_jealous_if_Wife_talks_with_other_men,Husband_partner_insists_on_knowing_where_Wife_is,Ever_been_humiliated_by_husband_partner,Ever_been_insulted_or_made_to_feel_bad_by_husband_partner,"Ever_been_pushed,_shook_or_had_something_thrown_by_husband_partner",Ever_been_slapped_by_husband_partner,Person_who_usually_decides_on_Wife's_health_care,Person_who_usually_decides_on_large_household_purchases,"Wife_afraid_of_husband_partner_most_of_the_time,_sometimes_or_never"
41,Secondary or below,Skilled and unskilled manual,No caste / tribe,Muslim,34,156.1,Secondary or below,Not working,No caste / tribe,Muslim,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
30,Secondary or below,Services / household and domestic,Caste,Muslim,30,138.6,Secondary or below,Not working,Caste,Muslim,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
45,Secondary or below,Agricultural,Caste,Hindu,40,155.9,Secondary or below,Not working,Caste,Hindu,Urban,West Bengal,,,,,,,Husband/partner alone,Husband/partner alone,
25,Secondary or below,Sales,Caste,Muslim,25,146.5,Higher Secondary,Clerical,Caste,Muslim,Urban,West Bengal,,,,,,,Husband/partner alone,Husband/partner alone,
25,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Muslim,24,160.2,Graduate (B.Tech/B.Sc/BA),Skilled and unskilled manual,Caste,Muslim,Urban,West Bengal,,,,,,,Respondent alone,Respondent alone,
38,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Hindu,32,150.2,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,West Bengal,,,,,,,Husband/partner alone,Respondent and husband/partner,
54,Secondary or below,Skilled and unskilled manual,Caste,Hindu,47,152.2,Secondary or below,Not working,Caste,Hindu,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
40,Secondary or below,Services / household and domestic,Caste,Hindu,40,157.8,Secondary or below,Not working,Caste,Hindu,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
49,Secondary or below,Services / household and domestic,Caste,Hindu,47,148.2,Secondary or below,Services / household and domestic,Caste,Hindu,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
30,Secondary or below,Skilled and unskilled manual,Caste,Hindu,19,153.4,Secondary or below,Not working,Caste,Hindu,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
40,Secondary or below,Sales,Caste,Hindu,31,148.3,Secondary or below,Not working,Caste,Hindu,Urban,West Bengal,,,,,,,Respondent alone,Respondent alone,
40,Secondary or below,Not working,No caste / tribe,Muslim,29,,Secondary or below,Not working,No caste / tribe,Muslim,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
27,Secondary or below,Skilled and unskilled manual,No caste / tribe,Muslim,26,145.0,Secondary or below,Not working,Don't know,Muslim,Rural,West Bengal,,,,,,,Husband/partner alone,Husband/partner alone,
29,Secondary or below,Skilled and unskilled manual,Caste,Muslim,21,148.0,Secondary or below,Not working,Caste,Muslim,Rural,West Bengal,,,,,,,Respondent alone,Respondent and husband/partner,
30,Secondary or below,Skilled and unskilled manual,No caste / tribe,Hindu,23,151.7,Higher Secondary,Not working,No caste / tribe,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
47,Secondary or below,Professional / technical / managerial,No caste / tribe,Hindu,40,149.9,Secondary or below,Not working,No caste / tribe,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
21,Secondary or below,Professional / technical / managerial,Caste,Hindu,18,144.5,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
31,Secondary or below,Skilled and unskilled manual,No caste / tribe,Hindu,17,,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Husband/partner alone,Husband/partner alone,
30,Secondary or below,Skilled and unskilled manual,No caste / tribe,Hindu,25,158.0,Secondary or below,Not working,No caste / tribe,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
31,Graduate (B.Tech/B.Sc/BA),Agricultural,Caste,Hindu,28,146.9,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
45,Secondary or below,Professional / technical / managerial,Caste,Hindu,39,152.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent alone,Respondent and husband/partner,
32,Secondary or below,Agricultural,Caste,Hindu,30,143.0,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Husband/partner alone,Husband/partner alone,
20,Secondary or below,Skilled and unskilled manual,Caste,Hindu,18,144.6,Secondary or below,Agricultural,Don't know,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Someone else,
47,Secondary or below,Not working,Caste,Hindu,43,148.5,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
51,Secondary or below,Agricultural,Caste,Muslim,42,150.6,Secondary or below,Not working,No caste / tribe,Muslim,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
35,Secondary or below,Skilled and unskilled manual,Caste,Hindu,31,,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
38,Secondary or below,Sales,Caste,Hindu,27,156.8,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
22,Secondary or below,Not working,Caste,Hindu,16,155.7,Secondary or below,Not working,Don't know,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
42,Secondary or below,Professional / technical / managerial,Caste,Hindu,37,152.4,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Someone else,
50,Secondary or below,Skilled and unskilled manual,Caste,Hindu,40,147.3,Secondary or below,Agricultural,Tribe,Hindu,Rural,West Bengal,,,,,,,Husband/partner alone,Respondent and husband/partner,
23,Higher Secondary,Agricultural,No caste / tribe,Hindu,16,155.2,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Husband/partner alone,Someone else,
15,Secondary or below,Sales,No caste / tribe,Hindu,27,149.6,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Husband/partner alone,Respondent and husband/partner,
28,Graduate (B.Tech/B.Sc/BA),Sales,Caste,Hindu,24,146.4,Secondary or below,Agricultural,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent alone,Someone else,
26,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,23,156.3,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
27,Secondary or below,Agricultural,Tribe,Hindu,21,140.1,Secondary or below,Not working,Tribe,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
44,Secondary or below,Other,Caste,Hindu,40,147.2,Secondary or below,Not working,No caste / tribe,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
48,Secondary or below,Agricultural,Caste,Hindu,38,153.9,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
54,Higher Secondary,Agricultural,Caste,Hindu,43,148.4,Secondary or below,Other,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Husband/partner alone,
51,Secondary or below,Skilled and unskilled manual,Caste,Hindu,39,152.4,Secondary or below,Other,Caste,Hindu,Rural,West Bengal,,,,,,,Husband/partner alone,Husband/partner alone,
40,Secondary or below,Skilled and unskilled manual,Caste,Hindu,31,149.0,Secondary or below,Don't know,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
47,Graduate (B.Tech/B.Sc/BA),Sales,Caste,Hindu,29,150.5,Secondary or below,Not working,Caste,Hindu,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
29,Secondary or below,Clerical,Caste,Muslim,20,151.1,Secondary or below,Skilled and unskilled manual,Caste,Muslim,Rural,West Bengal,,,,,,,Husband/partner alone,Husband/partner alone,
36,Secondary or below,Skilled and unskilled manual,Don't know,Hindu,24,139.3,Secondary or below,Not working,No caste / tribe,Hindu,Rural,West Bengal,,,,,,,Husband/partner alone,Husband/partner alone,
47,Secondary or below,Services / household and domestic,Caste,Hindu,42,149.3,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
24,Secondary or below,Skilled and unskilled manual,Caste,Hindu,16,143.9,Secondary or below,Not working,No caste / tribe,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
42,Secondary or below,Sales,Caste,Hindu,33,150.9,Secondary or below,Not working,No caste / tribe,Hindu,Rural,West Bengal,,,,,,,Husband/partner alone,Husband/partner alone,
32,Secondary or below,Skilled and unskilled manual,Caste,Hindu,18,151.7,Higher Secondary,Not working,No caste / tribe,Hindu,Rural,West Bengal,,,,,,,Husband/partner alone,Husband/partner alone,
33,Graduate (B.Tech/B.Sc/BA),Clerical,No caste / tribe,Hindu,23,157.3,Higher Secondary,Services / household and domestic,Caste,Hindu,Urban,West Bengal,,,,,,,Respondent alone,Respondent alone,
42,Secondary or below,Skilled and unskilled manual,No caste / tribe,Muslim,37,156.2,Higher Secondary,Not working,No caste / tribe,Muslim,Urban,West Bengal,,,,,,,Husband/partner alone,Respondent alone,
52,Secondary or below,Skilled and unskilled manual,Caste,Hindu,46,150.1,Secondary or below,Services / household and domestic,Caste,Hindu,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent alone,
35,Higher Secondary,Services / household and domestic,Caste,Hindu,22,155.1,Secondary or below,Not working,Caste,Hindu,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
26,Secondary or below,Skilled and unskilled manual,Caste,Hindu,25,149.0,Secondary or below,Not working,Caste,Hindu,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
54,Secondary or below,Skilled and unskilled manual,No caste / tribe,Muslim,45,150.3,Secondary or below,Skilled and unskilled manual,Caste,Muslim,Urban,West Bengal,,,,,,,Respondent alone,Respondent alone,
41,Secondary or below,Skilled and unskilled manual,No caste / tribe,Muslim,38,154.1,Secondary or below,Not working,No caste / tribe,Muslim,Urban,West Bengal,,,,,,,Husband/partner alone,Respondent and husband/partner,
39,Secondary or below,Skilled and unskilled manual,No caste / tribe,Muslim,31,148.9,Secondary or below,Sales,No caste / tribe,Muslim,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
40,Secondary or below,Skilled and unskilled manual,Caste,Hindu,38,153.6,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent alone,
48,Secondary or below,Skilled and unskilled manual,Caste,Hindu,40,156.7,Secondary or below,Not working,Caste,Hindu,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
50,Secondary or below,Skilled and unskilled manual,No caste / tribe,Muslim,43,152.3,Secondary or below,Not working,Caste,Muslim,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
43,Secondary or below,Sales,No caste / tribe,Muslim,33,148.3,Secondary or below,Not working,Caste,Muslim,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
50,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Hindu,45,149.6,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent alone,
54,Graduate (B.Tech/B.Sc/BA),Clerical,Caste,Hindu,49,152.2,Secondary or below,Not working,Caste,Hindu,Urban,West Bengal,,,,,,,Husband/partner alone,Respondent and husband/partner,
53,Graduate (B.Tech/B.Sc/BA),Sales,Caste,Hindu,42,154.6,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
50,Higher Secondary,Services / household and domestic,Caste,Hindu,44,161.0,Secondary or below,Not working,Caste,Hindu,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
48,Graduate (B.Tech/B.Sc/BA),Other,Don't know,Muslim,32,146.5,Secondary or below,Not working,No caste / tribe,Muslim,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
50,Secondary or below,Other,No caste / tribe,Hindu,45,142.3,Secondary or below,Not working,No caste / tribe,Hindu,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
26,Secondary or below,Agricultural,No caste / tribe,Muslim,23,153.5,Higher Secondary,Not working,No caste / tribe,Muslim,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
54,Secondary or below,Other,Caste,Hindu,46,152.7,Secondary or below,Other,Tribe,Hindu,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
30,Secondary or below,Sales,No caste / tribe,Muslim,24,154.6,Secondary or below,Not working,No caste / tribe,Muslim,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
41,Secondary or below,Other,Caste,Hindu,36,154.2,Secondary or below,Not working,Caste,Hindu,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
32,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,No caste / tribe,Christian,27,152.3,Higher Secondary,Not working,No caste / tribe,Hindu,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
30,Graduate (B.Tech/B.Sc/BA),Services / household and domestic,Caste,Hindu,30,155.8,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Hindu,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
48,Secondary or below,Skilled and unskilled manual,Caste,Hindu,45,142.9,Secondary or below,Not working,Caste,Hindu,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent alone,
30,Secondary or below,Agricultural,Caste,Hindu,25,,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
50,Secondary or below,Skilled and unskilled manual,Tribe,Muslim,48,152.6,Secondary or below,Not working,Caste,Muslim,Rural,West Bengal,,,,,,,Respondent alone,Respondent alone,
39,Secondary or below,Agricultural,Caste,Hindu,37,149.6,Higher Secondary,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Husband/partner alone,Husband/partner alone,
42,Secondary or below,Skilled and unskilled manual,Caste,Hindu,40,141.2,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
43,Graduate (B.Tech/B.Sc/BA),Services / household and domestic,Caste,Hindu,39,156.4,Higher Secondary,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
28,Secondary or below,Other,Caste,Hindu,24,139.8,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
24,Secondary or below,Skilled and unskilled manual,No caste / tribe,Muslim,24,146.3,Higher Secondary,Other,No caste / tribe,Muslim,Rural,West Bengal,,,,,,,Husband/partner alone,Husband/partner alone,
45,Secondary or below,Skilled and unskilled manual,Caste,Hindu,41,153.5,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Husband/partner alone,Husband/partner alone,
20,Secondary or below,Skilled and unskilled manual,No caste / tribe,Muslim,18,142.2,Secondary or below,Not working,Don't know,Muslim,Rural,West Bengal,,,,,,,Husband/partner alone,Respondent and husband/partner,
44,Secondary or below,Skilled and unskilled manual,Caste,Hindu,27,153.4,Higher Secondary,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent alone,Respondent alone,
42,Secondary or below,Skilled and unskilled manual,No caste / tribe,Muslim,37,147.6,Secondary or below,Not working,Don't know,Muslim,Rural,West Bengal,,,,,,,Husband/partner alone,Husband/partner alone,
19,Secondary or below,Skilled and unskilled manual,No caste / tribe,Muslim,15,112.5,Secondary or below,Not working,Caste,Muslim,Rural,West Bengal,,,,,,,Husband/partner alone,Husband/partner alone,
37,Secondary or below,Services / household and domestic,Caste,Hindu,31,138.6,Higher Secondary,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
41,Secondary or below,Agricultural,No caste / tribe,Hindu,32,162.4,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
27,Higher Secondary,Services / household and domestic,Caste,Hindu,26,146.5,Higher Secondary,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
29,Secondary or below,Skilled and unskilled manual,No caste / tribe,Hindu,25,146.8,Secondary or below,Not working,No caste / tribe,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
25,Secondary or below,Skilled and unskilled manual,Tribe,Muslim,18,156.7,Secondary or below,Not working,Caste,Muslim,Rural,West Bengal,,,,,,,Husband/partner alone,Other,
26,Secondary or below,Agricultural,Caste,Hindu,22,142.4,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
25,Higher Secondary,Services / household and domestic,Caste,Hindu,17,148.7,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,West Bengal,,,,,,,Husband/partner alone,Respondent alone,
45,Secondary or below,Agricultural,Caste,Hindu,31,146.5,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
40,Secondary or below,Skilled and unskilled manual,Caste,Hindu,32,139.4,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
37,Secondary or below,Other,Caste,Hindu,33,151.2,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
47,Secondary or below,Other,Tribe,Muslim,43,162.4,Secondary or below,Not working,No caste / tribe,Muslim,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
46,Secondary or below,Not working,No caste / tribe,Muslim,47,143.2,Secondary or below,Not working,Caste,Muslim,Rural,West Bengal,,,,,,,Husband/partner alone,Husband/partner alone,
19,Secondary or below,Other,Tribe,Muslim,19,138.2,Secondary or below,Not working,No caste / tribe,Muslim,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
34,Secondary or below,Other,Tribe,Muslim,27,135.6,Secondary or below,Not working,No caste / tribe,Muslim,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
52,Graduate (B.Tech/B.Sc/BA),Agricultural,Tribe,Muslim,48,157.1,Secondary or below,Not working,Caste,Muslim,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
28,Secondary or below,Skilled and unskilled manual,Tribe,Muslim,23,156.1,Higher Secondary,Not working,Caste,Muslim,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
32,Secondary or below,Skilled and unskilled manual,Tribe,Muslim,26,152.2,Higher Secondary,Not working,Caste,Muslim,Urban,West Bengal,,,,,,,Respondent and husband/partner,Someone else,
52,Secondary or below,Sales,No caste / tribe,Muslim,45,149.7,Secondary or below,Not working,Caste,Muslim,Urban,West Bengal,,,,,,,Husband/partner alone,Husband/partner alone,
18,Secondary or below,Services / household and domestic,No caste / tribe,Hindu,18,148.7,Secondary or below,Not working,Caste,Hindu,Urban,West Bengal,,,,,,,Respondent and husband/partner,Someone else,
24,Higher Secondary,Services / household and domestic,No caste / tribe,Hindu,24,151.7,Higher Secondary,Not working,Caste,Hindu,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
22,Secondary or below,Skilled and unskilled manual,Caste,Hindu,18,145.6,Secondary or below,Not working,Tribe,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
45,Secondary or below,Agricultural,Caste,Hindu,42,145.5,Secondary or below,Agricultural,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
28,Secondary or below,Agricultural,Caste,Hindu,26,153.3,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
38,Secondary or below,Skilled and unskilled manual,Tribe,Hindu,28,138.3,Secondary or below,Not working,Tribe,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Husband/partner alone,
46,Secondary or below,Agricultural,Tribe,Hindu,39,148.0,Secondary or below,Agricultural,Tribe,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
20,Secondary or below,Agricultural,Tribe,Hindu,17,148.6,Secondary or below,Agricultural,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
54,Higher Secondary,Agricultural,Caste,Hindu,48,154.8,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Husband/partner alone,Husband/partner alone,
52,Secondary or below,Agricultural,No caste / tribe,Hindu,48,149.2,Secondary or below,Agricultural,Caste,Hindu,Rural,West Bengal,,,,,,,Husband/partner alone,Respondent and husband/partner,
29,Secondary or below,Agricultural,Caste,Hindu,21,152.4,Secondary or below,Agricultural,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
49,Secondary or below,Skilled and unskilled manual,No caste / tribe,Muslim,41,149.0,Secondary or below,Not working,No caste / tribe,Muslim,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
26,Secondary or below,Skilled and unskilled manual,Tribe,Hindu,23,146.2,Secondary or below,Not working,Tribe,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
26,Secondary or below,Skilled and unskilled manual,Tribe,Hindu,25,150.6,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent alone,Respondent and husband/partner,
50,Higher Secondary,Skilled and unskilled manual,No caste / tribe,Muslim,38,148.3,Graduate (B.Tech/B.Sc/BA),Not working,No caste / tribe,Muslim,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
54,Secondary or below,Skilled and unskilled manual,No caste / tribe,Muslim,48,145.7,Secondary or below,Not working,No caste / tribe,Muslim,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
47,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,No caste / tribe,Hindu,38,,Graduate (B.Tech/B.Sc/BA),Not working,No caste / tribe,Hindu,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
49,Secondary or below,Agricultural,Caste,Hindu,45,154.6,Secondary or below,Agricultural,Caste,Hindu,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent alone,
26,Secondary or below,Agricultural,Caste,Hindu,24,151.3,Secondary or below,Not working,Caste,Hindu,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
24,Secondary or below,Skilled and unskilled manual,Caste,Hindu,21,148.2,Secondary or below,Not working,Caste,Hindu,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
49,Secondary or below,Skilled and unskilled manual,Caste,Hindu,45,141.0,Secondary or below,Agricultural,Caste,Hindu,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
21,Secondary or below,Services / household and domestic,No caste / tribe,Muslim,21,,Secondary or below,Not working,Caste,Muslim,Rural,West Bengal,,,,,,,Respondent and husband/partner,Husband/partner alone,
16,Secondary or below,Services / household and domestic,No caste / tribe,Muslim,15,148.2,Secondary or below,Not working,Don't know,Muslim,Rural,West Bengal,,,,,,,Respondent and husband/partner,Husband/partner alone,
49,Secondary or below,Other,Caste,Muslim,47,150.4,Secondary or below,Not working,No caste / tribe,Muslim,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
28,Secondary or below,Other,Caste,Muslim,26,153.6,Secondary or below,Not working,No caste / tribe,Muslim,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
45,Secondary or below,Agricultural,Caste,Hindu,36,155.5,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
23,Secondary or below,Services / household and domestic,No caste / tribe,Hindu,20,147.8,Secondary or below,Not working,No caste / tribe,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
20,Secondary or below,Services / household and domestic,No caste / tribe,Hindu,16,155.7,Secondary or below,Not working,No caste / tribe,Hindu,Rural,West Bengal,,,,,,,Husband/partner alone,Husband/partner alone,
21,Secondary or below,Agricultural,No caste / tribe,Hindu,18,156.4,Secondary or below,Not working,No caste / tribe,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Someone else,
42,Secondary or below,Skilled and unskilled manual,Caste,Hindu,36,158.0,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Husband/partner alone,Respondent alone,
36,Secondary or below,Other,Caste,Hindu,30,146.6,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Husband/partner alone,Husband/partner alone,
35,Secondary or below,Sales,Caste,Hindu,27,148.8,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
44,Secondary or below,Skilled and unskilled manual,No caste / tribe,Hindu,43,159.2,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
26,Higher Secondary,Sales,Caste,Hindu,24,157.6,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
45,Secondary or below,Sales,Caste,Hindu,44,142.2,Secondary or below,Not working,Caste,Hindu,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
45,Secondary or below,Skilled and unskilled manual,No caste / tribe,Hindu,40,153.2,Secondary or below,Not working,No caste / tribe,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Husband/partner alone,
43,Secondary or below,Skilled and unskilled manual,No caste / tribe,Hindu,36,143.9,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Husband/partner alone,Respondent and husband/partner,
35,Secondary or below,Skilled and unskilled manual,Caste,Hindu,30,141.8,Secondary or below,Not working,Tribe,Hindu,Rural,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
27,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,24,144.0,Higher Secondary,Other,Tribe,Hindu,Rural,West Bengal,,,,,,,Husband/partner alone,Respondent and husband/partner,
55,Secondary or below,Agricultural,Tribe,Hindu,46,154.2,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,,,,,,,Husband/partner alone,Respondent alone,
45,Secondary or below,Skilled and unskilled manual,Caste,Muslim,42,139.6,Secondary or below,Not working,Caste,Muslim,Urban,West Bengal,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
53,Secondary or below,Skilled and unskilled manual,No caste / tribe,Muslim,43,144.1,Secondary or below,Not working,Caste,Muslim,Urban,West Bengal,,,,,,,Respondent alone,Respondent and husband/partner,
